CID,BDATE,GEN
NASAW00011063,1992-08-15,Female
NASAW00011064,1981-10-28,Male
NASAW00011065,1989-10-12,Female
NASAW00011066,2004-12-23,Female
NASAW00011067,1967-07-12,Male
NASAW00011068,1990-07-12,Female
NASAW00011069,1985-11-28,Female
NASAW00011070,1974-01-13,Male
NASAW00011071,1986-03-31,Female
NASAW00011072,1969-12-22,Female
NASAW00011073,1987-06-10,Female
NASAW00011074,1959-10-03,Male
NASAW00011075,1986-03-01,Female
NASAW00011076,2003-05-24,Male
NASAW00011077,1988-05-27,Female
NASAW00011078,1988-08-29,Female
NASAW00011079,1971-04-05,Male
NASAW00011080,1968-07-14,Male
NASAW00011081,2001-05-14,Female
NASAW00011082,1993-09-04,Female
NASAW00011083,2005-04-07,Female
NASAW00011084,1996-01-22,Male
NASAW00011085,1980-10-29,Female
NASAW00011086,1992-10-12,Male
NASAW00011087,1992-08-20,Female
NASAW00011088,1996-06-01,Male
NASAW00011089,1996-07-13,Female
NASAW00011090,1977-09-06,Male
NASAW00011091,1973-07-31,Male
NASAW00011092,1989-05-17,Female
NASAW00011093,1961-08-11,Female
NASAW00011094,1975-10-24,Male
NASAW00011095,1989-08-22,Male
NASAW00011096,1994-09-14,Male
NASAW00011097,1984-07-01,Male
NASAW00011098,1997-03-12,Female
NASAW00011099,1988-07-30,Male
NASAW00011100,1984-07-19,Female
NASAW00011101,1992-02-06,Female
NASAW00011102,1987-04-07,Female
NASAW00011103,1991-02-28,Female
NASAW00011104,1986-02-03,Male
NASAW00011105,1983-05-25,Female
NASAW00011106,1972-12-02,Male
NASAW00011107,1974-03-19,Female
NASAW00011108,1979-03-17,Female
NASAW00011109,1988-12-11,Male
NASAW00011110,1985-05-31,Male
NASAW00011111,1952-04-21,Female
NASAW00011112,1990-07-13,Female
NASAW00011113,1987-09-28,Male
NASAW00011114,1974-10-09,Female
NASAW00011115,1976-05-07,Male
NASAW00011116,1995-11-10,Male
NASAW00011117,1979-06-17,Female
NASAW00011118,1982-12-07,Male
NASAW00011119,1983-12-27,Male
NASAW00011120,1984-08-20,Female
NASAW00011121,1976-03-23,Male
NASAW00011122,1979-03-08,Male
NASAW00011123,1997-12-17,Male
NASAW00011124,1994-06-06,Male
NASAW00011125,1997-10-22,Female
NASAW00011126,1989-03-27,Male
NASAW00011127,2002-08-28,Female
NASAW00011128,2007-11-30,Female
NASAW00011129,1989-07-11,Female
NASAW00011130,1986-10-04,Female
NASAW00011131,1987-11-15,Female
NASAW00011132,1995-12-17,Female
NASAW00011133,1979-01-25,Female
NASAW00011134,1979-02-02,Male
NASAW00011135,1997-05-27,Male
NASAW00011136,1992-03-21,Female
NASAW00011137,1985-04-06,Female
NASAW00011138,1998-03-25,Female
NASAW00011139,1997-04-30,Female
NASAW00011140,1993-04-27,Male
NASAW00011141,1992-10-30,F
NASAW00011142,1978-06-13,M
NASAW00011143,1973-03-16,Male
NASAW00011144,1988-12-14,Male
NASAW00011145,1989-12-07,Female
NASAW00011146,1984-07-08,Female
NASAW00011147,1994-10-06,Male
NASAW00011148,2005-12-23,Male
NASAW00011149,1997-05-11,Male
NASAW00011150,1972-09-06,Male
NASAW00011151,2005-02-11,Female
NASAW00011152,1993-02-22,Male
NASAW00011153,1977-08-29,Female
NASAW00011154,1990-08-15,Female
NASAW00011155,1990-07-07,Male
NASAW00011156,1981-05-31,Female
NASAW00011157,1978-08-14,Female
NASAW00011158,1979-12-15,Male
NASAW00011159,1966-08-19,Female
NASAW00011160,1996-04-28,Male
NASAW00011161,1997-05-31,Female
NASAW00011162,2000-11-25,Male
NASAW00011163,1992-08-18,Male
NASAW00011164,1993-02-13,Male
NASAW00011165,1979-08-31,Female
NASAW00011166,1968-04-25,Female
NASAW00011167,1992-03-17,Female
NASAW00011168,2000-08-24,Male
NASAW00011169,1990-10-15,Male
NASAW00011170,1970-08-15,Female
NASAW00011171,1998-08-15,Male
NASAW00011172,1990-07-25,Female
NASAW00011173,1980-11-02,Female
NASAW00011174,1973-09-18,Male
NASAW00011175,1977-07-10,Male
NASAW00011176,1981-06-14,Male
NASAW00011177,1995-03-12,Male
NASAW00011178,1990-09-15,Male
NASAW00011179,2007-03-19,Female
NASAW00011180,2003-03-26,Female
NASAW00011181,1952-06-08,Male
NASAW00011182,1983-01-03,Female
NASAW00011183,1989-08-31,Female
NASAW00011184,1988-01-30,Female
NASAW00011185,2006-04-23,Female
NASAW00011186,2007-12-13,Female
NASAW00011187,1990-11-12,Female
NASAW00011188,1985-05-24,Female
NASAW00011189,1986-05-01,Male
NASAW00011190,1993-01-10,Male
NASAW00011191,1993-05-07,Female
NASAW00011192,1989-08-30,Male
NASAW00011193,1961-08-08,Male
NASAW00011194,1976-11-23,Female
NASAW00011195,2000-09-29,Female
NASAW00011196,1981-06-11,Male
NASAW00011197,1990-08-26,Female
NASAW00011198,1973-12-21,Female
NASAW00011199,2002-07-22,Female
NASAW00011200,1991-08-20,Male
NASAW00011201,2000-03-15,Female
NASAW00011202,1954-05-26,Female
NASAW00011203,1982-12-27,Male
NASAW00011204,1994-09-16,Female
NASAW00011205,1950-09-10,Female
NASAW00011206,1972-07-11,Male
NASAW00011207,2005-01-23,Female
NASAW00011208,1979-05-03,Female
NASAW00011209,1985-08-08,Female
NASAW00011210,1987-08-14,Male
NASAW00011211,2001-10-12,Female
NASAW00011212,1994-07-20,Female
NASAW00011213,1980-09-23,Female
NASAW00011214,1990-07-22,Male
NASAW00011215,2000-06-29,Female
NASAW00011216,1969-04-22,Female
NASAW00011217,1993-11-10,Female
NASAW00011218,1968-12-09,Female
NASAW00011219,1993-05-14,Male
NASAW00011220,1980-02-13,Female
NASAW00011221,1984-04-20,Male
NASAW00011222,1990-04-25,Female
NASAW00011223,1985-09-08,Female
NASAW00011224,1970-12-14,Female
NASAW00011225,1994-11-28,Female
NASAW00011226,1965-03-31,Female
NASAW00011227,1976-02-29,Male
NASAW00011228,1992-12-11,Female
NASAW00011229,1993-06-21,Male
NASAW00011230,1986-02-28,Female
NASAW00011231,1981-09-23,Male
NASAW00011232,1994-09-14,Female
NASAW00011233,1991-11-03,Male
NASAW00011234,1988-07-11,Female
NASAW00011235,1974-04-02,Male
NASAW00011236,1989-10-02,Male
NASAW00011237,1975-11-21,Male
NASAW00011238,1980-12-12,Female
NASAW00011239,1983-04-11,Female
NASAW00011240,1983-08-30,Female
NASAW00011241,1989-04-13,Female
NASAW00011242,1990-05-10,Male
NASAW00011243,1993-05-18,Female
NASAW00011244,1972-03-17,Female
NASAW00011245,1977-04-02,Male
NASAW00011246,1986-05-11,Female
NASAW00011247,1987-03-11,Female
NASAW00011248,1982-04-26,Male
NASAW00011249,1985-01-21,Female
NASAW00011250,1979-12-06,Female
NASAW00011251,1980-11-16,Male
NASAW00011252,1987-01-16,Male
NASAW00011253,2004-01-27,Male
NASAW00011254,1978-05-18,Male
NASAW00011255,1966-07-27,Male
NASAW00011256,1989-05-23,Female
NASAW00011257,1982-03-23,Female
NASAW00011258,1970-05-15,Male
NASAW00011259,1963-03-07,Female
NASAW00011260,1982-09-23,Female
NASAW00011261,1991-09-01,Female
NASAW00011262,1986-08-09,Female
NASAW00011263,1998-03-14,Female
NASAW00011264,1976-04-10,Male
NASAW00011265,1985-01-08,Female
NASAW00011266,1981-09-27,Female
NASAW00011267,1983-01-09,Male
NASAW00011268,2007-06-05,Female
NASAW00011269,2001-06-29,Male
NASAW00011270,1991-02-05,Male
NASAW00011271,1999-07-15,Female
NASAW00011272,1986-06-05,Female
NASAW00011273,1996-03-10,Male
NASAW00011274,1965-06-11,Male
NASAW00011275,1986-08-22,Female
NASAW00011276,2002-12-18,Female
NASAW00011277,2002-10-30,Male
NASAW00011278,1993-10-24,Male
NASAW00011279,1983-12-17,Female
NASAW00011280,1984-12-03,Male
NASAW00011281,1960-07-01,Female
NASAW00011282,2002-12-26,Male
NASAW00011283,1995-03-07,Male
NASAW00011284,2003-11-29,Female
NASAW00011285,1986-03-09,Male
NASAW00011286,1967-03-04,Male
NASAW00011287,1960-03-02,Male
NASAW00011288,1990-10-26,Female
NASAW00011289,1993-05-31,Female
NASAW00011290,1965-03-29,Female
NASAW00011291,1975-09-08,Female
NASAW00011292,1977-11-09,Male
NASAW00011293,1992-06-21,Male
NASAW00011294,1982-03-04,Male
NASAW00011295,2008-03-16,Female
NASAW00011296,1992-11-13,Female
NASAW00011297,1977-01-06,Male
NASAW00011298,1991-04-08,Male
NASAW00011299,1988-01-18,Male
NASAW00011300,1986-09-05,Male
NASAW00011301,1997-01-08,Male
NASAW00011302,1998-06-22,Male
NASAW00011303,1981-09-10,Female
NASAW00011304,1976-06-07,Female
NASAW00011305,1984-06-16,Male
NASAW00011306,1977-10-23,Male
NASAW00011307,1990-01-11,Male
NASAW00011308,1970-08-21,Male
NASAW00011309,1968-05-08,Female
NASAW00011310,2003-06-25,Female
NASAW00011311,1994-07-06,Female
NASAW00011312,1971-02-07,Female
NASAW00011313,1988-12-20,Male
NASAW00011314,1998-06-08,Female
NASAW00011315,1982-03-07,Female
NASAW00011316,1983-03-05,Male
NASAW00011317,1980-11-10,Female
NASAW00011318,1988-08-10,Female
NASAW00011319,2002-05-06,Female
NASAW00011320,1996-04-05,Female
NASAW00011321,1976-02-28,Male
NASAW00011322,1985-05-17,Female
NASAW00011323,1989-03-07,Male
NASAW00011324,1992-04-20,Male
NASAW00011325,1999-12-20,Male
NASAW00011326,1997-01-24,Male
NASAW00011327,1969-05-30,Male
NASAW00011328,1973-11-15,Male
NASAW00011329,1989-03-13,Male
NASAW00011330,1984-12-13,Male
NASAW00011331,1983-12-08,Female
NASAW00011332,1978-04-23,Female
NASAW00011333,1982-04-26,Female
NASAW00011334,1998-12-07,Female
NASAW00011335,1977-03-30,Female
NASAW00011336,1967-04-20,Male
NASAW00011337,2008-03-24,Male
NASAW00011338,1986-10-27,Male
NASAW00011339,1992-02-15,Male
NASAW00011340,1996-03-02,Female
NASAW00011341,1986-03-31,Male
NASAW00011342,1996-09-15,Male
NASAW00011343,1992-04-02,Male
NASAW00011344,1977-03-20,Female
NASAW00011345,1984-01-15,Female
NASAW00011346,2000-01-10,Female
NASAW00011347,2000-10-31,Male
NASAW00011348,2001-05-10,Male
NASAW00011349,1992-01-20,Female
NASAW00011350,1961-04-07,Female
NASAW00011351,1972-09-26,Female
NASAW00011352,2001-04-28,Male
NASAW00011353,2001-01-02,Female
NASAW00011354,2008-01-09,Female
NASAW00011355,1994-02-17,Male
NASAW00011356,1986-05-26,Male
NASAW00011357,1970-03-08,Male
NASAW00011358,1962-01-17,Female
NASAW00011359,2002-10-23,Male
NASAW00011360,1992-12-01,Male
NASAW00011361,1993-02-28,Female
NASAW00011362,1997-12-20,Male
NASAW00011363,2001-05-03,Male
NASAW00011364,1967-10-29,Female
NASAW00011365,1989-03-29,Female
NASAW00011366,1988-03-06,Female
NASAW00011367,1984-07-10,Male
NASAW00011368,1980-01-28,Male
NASAW00011369,2004-10-16,Female
NASAW00011370,2007-12-05,Female
NASAW00011371,1994-04-08,Female
NASAW00011372,1990-09-13,Female
NASAW00011373,1985-02-11,Female
NASAW00011374,1991-12-06,Male
NASAW00011375,1982-09-30,Male
NASAW00011376,1965-07-01,Male
NASAW00011377,2007-05-08,Male
NASAW00011378,2000-02-01,Female
NASAW00011379,1988-04-15,Male
NASAW00011380,1988-07-04,Male
NASAW00011381,1994-12-03,Female
NASAW00011382,1998-04-05,Male
NASAW00011383,1983-10-13,Female
NASAW00011384,1982-04-08,Female
NASAW00011385,2005-12-03,Male
NASAW00011386,1978-01-07,Female
NASAW00011387,1999-05-19,Female
NASAW00011388,1997-06-15,Male
NASAW00011389,1990-05-09,Male
NASAW00011390,2000-02-28,Female
NASAW00011391,1992-02-15,Female
NASAW00011392,1980-11-29,Male
NASAW00011393,2002-01-25,Male
NASAW00011394,1993-10-24,Male
NASAW00011395,1972-06-16,Female
NASAW00011396,1995-09-21,Male
NASAW00011397,1994-06-16,Female
NASAW00011398,1978-12-14,Male
NASAW00011399,1999-01-30,Female
NASAW00011400,1963-05-22,Male
NASAW00011401,1992-10-07,Female
NASAW00011402,2003-10-24,Female
NASAW00011403,1975-10-15,Female
NASAW00011404,1974-04-29,Female
NASAW00011405,2000-01-19,Female
NASAW00011406,1987-01-29,Female
NASAW00011407,1996-09-02,Male
NASAW00011408,1996-01-03,Male
NASAW00011409,1995-05-08,Female
NASAW00011410,2000-12-17,Male
NASAW00011411,1994-06-09,Male
NASAW00011412,1968-07-20,Female
NASAW00011413,1984-08-20,Female
NASAW00011414,1990-10-19,Male
NASAW00011415,1994-09-22,Male
NASAW00011416,1973-12-31,Female
NASAW00011417,1984-05-02,Female
NASAW00011418,1994-04-13,Male
NASAW00011419,1984-10-24,Male
NASAW00011420,1994-04-07,Male
NASAW00011421,1991-06-22,Female
NASAW00011422,1974-04-19,Male
NASAW00011423,2000-05-09,Female
NASAW00011424,1989-10-15,Female
NASAW00011425,1990-01-19,Female
NASAW00011426,1987-04-01,Male
NASAW00011427,2007-06-14,Female
NASAW00011428,1959-08-29,Female
NASAW00011429,1987-11-29,Male
NASAW00011430,1996-09-24,Female
NASAW00011431,2001-08-24,Male
NASAW00011432,1997-11-18,Female
NASAW00011433,1989-01-09,Male
NASAW00011434,1995-10-10,Male
NASAW00011435,1998-02-18,Female
NASAW00011436,1984-02-02,Female
NASAW00011437,1996-06-11,Male
NASAW00011438,1992-02-11,Female
NASAW00011439,1995-10-09,Female
NASAW00011440,1986-11-18,Male
NASAW00011441,1998-10-15,Female
NASAW00011442,1996-01-18,Male
NASAW00011443,1977-06-09,Female
NASAW00011444,1982-01-18,Female
NASAW00011445,1992-12-13,Female
NASAW00011446,2001-02-02,Female
NASAW00011447,1995-03-31,Female
NASAW00011448,1952-07-23,Male
NASAW00011449,1993-05-23,Male
NASAW00011450,1984-12-12,Male
NASAW00011451,2004-04-13,Male
NASAW00011452,1999-05-18,Female
NASAW00011453,1978-12-21,Male
NASAW00011454,1995-04-21,Female
NASAW00011455,2000-03-01,Male
NASAW00011456,1989-01-15,Male
NASAW00011457,1987-09-25,Female
NASAW00011458,2007-11-15,Female
NASAW00011459,1984-10-05,Female
NASAW00011460,1988-06-20,Male
NASAW00011461,1967-12-21,Male
NASAW00011462,1985-01-23,Female
NASAW00011463,2001-12-05,Female
NASAW00011464,1967-01-22,Male
NASAW00011465,1991-08-25,Male
NASAW00011466,1971-04-09,Male
NASAW00011467,1979-06-12,Male
NASAW00011468,2000-05-17,Female
NASAW00011469,1992-12-29,Male
NASAW00011470,2007-07-25,Male
NASAW00011471,1987-05-01,Female
NASAW00011472,1965-10-30,Male
NASAW00011473,1999-04-06,Female
NASAW00011474,1984-07-31,Male
NASAW00011475,1964-03-22,Male
NASAW00011476,2002-08-03,Female
NASAW00011477,1999-03-29,Male
NASAW00011478,2005-07-04,Male
NASAW00011479,1966-04-26,Male
NASAW00011480,1995-08-03,Female
NASAW00011481,2005-11-09,Female
NASAW00011482,1971-10-15,Female
NASAW00011483,2005-06-19,Male
NASAW00011484,1991-09-25,Male
NASAW00011485,2001-10-25,Male
NASAW00011486,2004-12-12,Female
NASAW00011487,1991-10-31,Female
NASAW00011488,1990-09-24,Male
NASAW00011489,1966-06-30,Female
NASAW00011490,1975-04-04,Male
NASAW00011491,1967-09-19,Male
NASAW00011492,1980-10-16,Male
NASAW00011493,1990-09-08,Female
NASAW00011494,1975-12-13,Male
NASAW00011495,1968-08-25,Male
NASAW00011496,1999-05-09,Male
NASAW00011497,1987-08-21,Female
NASAW00011498,2000-04-17,Male
NASAW00011499,1996-08-23,Male
NASAW00011500,1991-02-27,Female
NASAW00011501,1968-08-02,Female
NASAW00011502,1998-01-23,Male
NASAW00011503,1978-12-22,Male
NASAW00011504,2006-10-25,Female
NASAW00011505,1984-02-29,Female
NASAW00011506,1974-04-22,Male
NASAW00011507,1997-10-03,Female
NASAW00011508,1996-07-20,Female
NASAW00011509,1974-09-15,Female
NASAW00011510,1998-06-22,Male
NASAW00011511,1978-02-17,Male
NASAW00011512,1995-01-18,Female
NASAW00011513,1981-06-24,Female
NASAW00011514,2007-11-29,Male
NASAW00011515,1990-01-01,Female
NASAW00011516,1988-10-02,Female
NASAW00011517,1982-12-24,Female
NASAW00011518,1981-12-26,Male
NASAW00011519,1978-01-06,Male
NASAW00011520,1988-04-21,Female
NASAW00011521,2000-08-12,Female
NASAW00011522,1991-12-31,Male
NASAW00011523,1975-04-13,Male
NASAW00011524,1995-11-21,Female
NASAW00011525,1996-06-03,Female
NASAW00011526,1991-09-20,Female
NASAW00011527,1981-04-07,Female
NASAW00011528,1987-11-15,Female
NASAW00011529,1990-11-12,Male
NASAW00011530,1991-05-08,Male
NASAW00011531,1990-02-16,Female
NASAW00011532,1981-11-10,Female
NASAW00011533,1992-06-14,Female
NASAW00011534,1989-07-15,Male
NASAW00011535,1971-06-16,Male
NASAW00011536,1987-01-02,Male
NASAW00011537,1988-05-15,Male
NASAW00011538,2007-03-01,Female
NASAW00011539,1994-08-10,Male
NASAW00011540,2002-06-10,Male
NASAW00011541,1984-05-16,Male
NASAW00011542,1975-06-14,Male
NASAW00011543,1975-04-17,Female
NASAW00011544,1995-11-17,Male
NASAW00011545,1992-12-27,Male
NASAW00011546,1998-04-06,Female
NASAW00011547,1994-08-11,Female
NASAW00011548,1992-03-01,Male
NASAW00011549,1982-05-29,Female
NASAW00011550,1974-06-19,Female
NASAW00011551,2007-06-22,Male
NASAW00011552,2004-09-10,Male
NASAW00011553,1986-06-01,Female
NASAW00011554,1980-10-25,Female
NASAW00011555,1970-06-02,Female
NASAW00011556,1987-02-13,Male
NASAW00011557,1988-05-10,Female
NASAW00011558,1998-12-08,Male
NASAW00011559,2006-12-07,Male
NASAW00011560,1998-03-27,Female
NASAW00011561,1985-11-08,Female
NASAW00011562,1999-10-02,Male
NASAW00011563,1974-01-27,Male
NASAW00011564,1988-09-26,Male
NASAW00011565,1990-06-19,Male
NASAW00011566,1994-05-19,Female
NASAW00011567,1992-08-19,Female
NASAW00011568,1996-08-13,Female
NASAW00011569,1969-11-04,Male
NASAW00011570,1993-08-16,Female
NASAW00011571,1981-02-04,Male
NASAW00011572,1986-01-06,Male
NASAW00011573,1977-10-30,Female
NASAW00011574,2001-03-01,Female
NASAW00011575,1978-08-08,Male
NASAW00011576,1993-12-07,Male
NASAW00011577,2008-01-09,Female
NASAW00011578,1984-06-22,Female
NASAW00011579,1974-11-21,Male
NASAW00011580,1992-06-20,Male
NASAW00011581,2007-05-14,Female
NASAW00011582,1991-04-22,Female
NASAW00011583,1998-09-27,Female
NASAW00011584,1981-11-29,Male
NASAW00011585,1999-07-06,Female
NASAW00011586,2000-10-01,Male
NASAW00011587,1986-09-08,Male
NASAW00011588,1991-01-17,Female
NASAW00011589,2002-10-21,Female
NASAW00011590,1992-05-21,Female
NASAW00011591,1993-12-20,Female
NASAW00011592,1995-09-05,Male
NASAW00011593,2005-01-01,Male
NASAW00011594,1991-04-02,Male
NASAW00011595,1985-06-21,Male
NASAW00011596,1980-01-03,Male
NASAW00011597,2007-04-04,Female
NASAW00011598,1984-08-25,Female
NASAW00011599,1974-11-15,Female
NASAW00011600,1968-07-24,Female
NASAW00011601,2003-11-08,Male
NASAW00011602,1995-01-11,Male
NASAW00011603,2002-12-20,Male
NASAW00011604,1966-05-29,Male
NASAW00011605,1987-02-01,Female
NASAW00011606,2003-05-28,Female
NASAW00011607,1985-07-12,Male
NASAW00011608,1975-03-06,Male
NASAW00011609,1987-02-21,Male
NASAW00011610,1986-02-28,Male
NASAW00011611,1966-10-09,Male
NASAW00011612,1998-11-08,Male
NASAW00011613,1982-11-19,Female
NASAW00011614,1993-12-18,Female
NASAW00011615,1988-07-24,Male
NASAW00011616,1983-03-05,Female
NASAW00011617,1992-04-05,Male
NASAW00011618,1984-06-17,Male
NASAW00011619,1999-12-06,Female
NASAW00011620,1986-09-12,Female
NASAW00011621,1984-10-15,Female
NASAW00011622,1996-05-22,Male
NASAW00011623,1966-01-31,Female
NASAW00011624,1993-03-18,Male
NASAW00011625,1963-11-16,Male
NASAW00011626,2007-10-28,Female
NASAW00011627,1983-09-19,Male
NASAW00011628,1995-06-18,Female
NASAW00011629,1976-06-24,Male
NASAW00011630,1989-07-28,Female
NASAW00011631,1978-04-30,Male
NASAW00011632,1994-06-25,Female
NASAW00011633,1999-09-20,Male
NASAW00011634,1998-12-03,Male
NASAW00011635,1998-04-10,Male
NASAW00011636,1963-05-26,Female
NASAW00011637,1991-04-05,Female
NASAW00011638,1981-06-05,Male
NASAW00011639,1968-08-06,Female
NASAW00011640,1986-04-21,Female
NASAW00011641,1987-01-06,Male
NASAW00011642,1981-09-16,Female
NASAW00011643,1995-03-30,Female
NASAW00011644,1994-07-13,Male
NASAW00011645,1976-08-09,Female
NASAW00011646,1983-03-14,Female
NASAW00011647,1998-03-14,Male
NASAW00011648,1998-02-12,Male
NASAW00011649,2005-08-30,Male
NASAW00011650,1986-02-16,Male
NASAW00011651,1997-02-22,Female
NASAW00011652,1994-08-05,Male
NASAW00011653,1980-05-11,Female
NASAW00011654,2003-08-07,Female
NASAW00011655,1992-06-27,Female
NASAW00011656,1976-06-11,Female
NASAW00011657,1988-04-19,Female
NASAW00011658,1986-04-26,Male
NASAW00011659,1990-08-11,Male
NASAW00011660,1999-05-15,Female
NASAW00011661,1993-11-20,Male
NASAW00011662,2000-05-06,Male
NASAW00011663,1996-08-31,Male
NASAW00011664,1995-05-29,Female
NASAW00011665,1991-01-07,Female
NASAW00011666,1971-06-07,Male
NASAW00011667,1993-10-03,Male
NASAW00011668,1999-08-08,Female
NASAW00011669,1996-05-06,Female
NASAW00011670,1985-04-26,Female
NASAW00011671,1970-07-06,Female
NASAW00011672,1994-06-16,Male
NASAW00011673,1992-11-30,Female
NASAW00011674,1995-10-14,Female
NASAW00011675,1999-05-15,Male
NASAW00011676,1999-11-07,Male
NASAW00011677,1985-07-24,Male
NASAW00011678,2000-10-02,Male
NASAW00011679,1980-06-02,Male
NASAW00011680,1991-04-19,Female
NASAW00011681,1994-07-07,Female
NASAW00011682,1968-10-11,Female
NASAW00011683,1984-03-03,Male
NASAW00011684,1986-09-18,Male
NASAW00011685,1984-03-13,Male
NASAW00011686,1983-03-12,Male
NASAW00011687,2002-05-22,Male
NASAW00011688,1974-11-21,Female
NASAW00011689,1999-07-05,Male
NASAW00011690,1984-02-29,Female
NASAW00011691,1985-07-08,Female
NASAW00011692,1971-06-08,Male
NASAW00011693,1992-10-27,Female
NASAW00011694,1998-01-19,Male
NASAW00011695,1989-02-19,Male
NASAW00011696,1976-02-22,Female
NASAW00011697,1992-11-14,Male
NASAW00011698,1989-10-18,Male
NASAW00011699,1967-08-17,Male
NASAW00011700,1993-12-08,Male
NASAW00011701,2007-12-17,Male
NASAW00011702,1993-04-07,Female
NASAW00011703,1970-09-27,Female
NASAW00011704,1968-11-01,Male
NASAW00011705,1980-08-24,Female
NASAW00011706,1978-11-09,Male
NASAW00011707,1994-05-05,Female
NASAW00011708,1990-09-21,Female
NASAW00011709,1995-12-31,Female
NASAW00011710,1980-07-24,Female
NASAW00011711,1982-09-23,Male
NASAW00011712,2005-12-30,Female
NASAW00011713,1996-04-28,Male
NASAW00011714,2003-10-28,Female
NASAW00011715,1992-07-04,Female
NASAW00011716,1998-09-09,Male
NASAW00011717,1999-04-28,Male
NASAW00011718,1980-07-25,Female
NASAW00011719,1991-08-25,Male
NASAW00011720,1985-01-13,Female
NASAW00011721,1998-10-19,Female
NASAW00011722,1971-07-17,Male
NASAW00011723,1980-03-11,Male
NASAW00011724,1984-11-10,Male
NASAW00011725,1999-03-22,Male
NASAW00011726,1987-08-22,Male
NASAW00011727,1971-03-27,Male
NASAW00011728,2005-01-23,Male
NASAW00011729,1966-08-31,Male
NASAW00011730,1990-03-27,Female
NASAW00011731,1996-04-05,Female
NASAW00011732,1986-09-20,Male
NASAW00011733,1997-07-24,Female
NASAW00011734,1994-07-14,Male
NASAW00011735,1984-10-05,Female
NASAW00011736,1985-12-09,Male
NASAW00011737,1987-01-27,Female
NASAW00011738,1980-02-14,Male
NASAW00011739,1965-02-18,Male
NASAW00011740,1976-03-30,Female
NASAW00011741,1983-07-14,Female
NASAW00011742,1975-01-05,Male
NASAW00011743,1972-08-19,Male
NASAW00011744,2003-12-08,Female
NASAW00011745,1983-07-07,Female
NASAW00011746,1953-11-12,Male
NASAW00011747,1981-04-26,Female
NASAW00011748,1992-05-14,Male
NASAW00011749,1999-03-05,Male
NASAW00011750,1986-04-13,Female
NASAW00011751,1996-01-29,Female
NASAW00011752,1991-07-06,Female
NASAW00011753,1994-11-08,Female
NASAW00011754,1989-12-02,Female
NASAW00011755,1982-09-05,Male
NASAW00011756,1970-10-21,Female
NASAW00011757,1991-05-03,Male
NASAW00011758,1997-09-13,Male
NASAW00011759,1996-08-28,Female
NASAW00011760,1987-02-15,Female
NASAW00011761,1979-04-04,Male
NASAW00011762,1997-03-21,Male
NASAW00011763,2002-04-12,Male
NASAW00011764,1981-12-13,Female
NASAW00011765,1990-05-24,Male
NASAW00011766,1981-02-11,Female
NASAW00011767,1963-02-18,Female
NASAW00011768,2004-10-15,Male
NASAW00011769,2002-01-06,Female
NASAW00011770,1981-04-21,Male
NASAW00011771,1979-01-29,Male
NASAW00011772,1991-05-31,Male
NASAW00011773,1982-11-25,Male
NASAW00011774,2000-09-14,Female
NASAW00011775,1995-09-17,Female
